VIDEO_ID	VIEWS	RATE	RATINGS	COMMENTS
FJEQwFakp4k	9501	4.51	57	27
YbfTtJei-BQ	544	5	2	1
Cd534pj5mfQ	353	4.5	4	0
V31LZllgwBA	4806	4	37	28
5JU51p5NUvc	7416	4.14	43	31
AMCSkTDFMD8	2824	4.25	4	0
lkl07NrY3Cs	19450	2.56	25	14
39zU17eSJIk	11985	4.82	22	36
HS8mcuc84qc	9552	5	86	30
YCU-qgR_4bM	914	5	8	3
OAc0ujT5lUI	1603	5	9	4
teUKi3wvlTU	1586	5	12	11
D-ID-dl1kKQ	389	3	1	2
UDCDrcZK4NE	5919	4.83	23	15
tmAvJ-Llj-Q	2481	5	11	5
gVgx4sA86IM	5411	3.75	36	9
qtCfmStiWHw	3818	4.46	13	5
Lsdc_AMxiEg	3145	4.33	12	2
5-auvSzn_cM	34979	3.38	29	20
kEUQpwI_kLw
9D8fj3ElUEk
eBbLQWqHfHM
lgi9lQoaGIY	286	5	1	0
_8ZtSlDeR-I	11488	3.3	10	13
EkIodMczZ7Q	20682	3.6	35	12
nujY9pF9vtQ	1957	2.75	4	2
7NMjP0EY1Ro	7808	2.95	20	20
QyaGyfY1RK4	20801	4.14	43	59
LY2iuzYEgec	20159	4.75	16	31
GYJLOMto6NE	5220	4.5	2	3
A7U5SvMLsWE	8093	0	0	11
0Vk-78QB6TA	11062	5	19	16
H4y2ucxrN08	1658	5	4	4
qBHSQAHoxa4	3322	4.56	9	9
Tm9T6CAC-S0	819	3.67	3	9
2-m8WQ-u-Qs	4800	4	9	18
5eMfTv7rKdE	304	0	0	0
zshBebKvUYc	216	4	2	1
8nFvtto82BY	1520	5	10	4
CU_MXK1A8oc	108	5	1	2
e0at07TrH20	2647	1	4	8
AgmdzwDNF1w	317	5	7	5
wVvlF79mDBc	624	5	7	5
hqD0Q0NsEKg	166	4	1	0
60r_TE2S-ZA	63	4.88	8	7
FSWOr_hxrZk	22	0	0	0
-XsJb2-EGMk	51420	4.96	95	39
0iZi0YIk7QU	46782	4.8	132	53
JSmu4rDiv_M	18111	4.72	40	8
Df1g3cA1PHI	17278	4.88	52	21
43kiP9zMn9Y	12524	4.74	38	5
7mei3yPz8XQ	8988	4.89	19	3
hYp6DKAqRQE	15602	4.94	33	12
hRzD4YYkBPg	7019	4.68	22	4
Loe96JNNLH4	6695	4.94	16	4
3JJpuczj9n4	5895	4.61	18	1
WC9uwEwbH3Q	13145	5	4	0
jh27LsBK_4E	12727	5	6	0
i2bintdEUx4	4669	5	1	0
7tFNQybILhc	1962	3	1	0
Axy6HQKof60	272	0	0	1
PTYatxB0d24	2304	4	4	1
XtAa3aZddbo	172	5	1	0
wYcZHOSe5eI	1327	5	12	5
rH31jF4qJJ8	2010	4.89	9	5
goB6tTSSEig	1498	0	0	0
XINzcpaSuPQ	2246	4.89	9	5
xX6755LpKhI	205	0	0	0
D5tOicetNVg	217	0	0	0
u0BVuW90stM	9604	4.85	13	11
GAsGp1Qu3Tg	572	4.67	3	0
OqRXZB3ceEM	323	0	0	1
zMrMwHV18Ao	1057	5	4	1
